NumeroFattura	Quantita	CostoUnit	PrezzoUnit
ORDST2176            	1	50,25	109,95
ORDST2177            	3	92,59	189,95
ORDST2178            	6	91,59	189,95
ORDST2179            	4	90,25	189,95
ORDST2180            	2	479,05	959,95
ORDST2171            	1	92,59	189,95
ORDST2172            	2	4,55	9,95
ORDST2173            	4	27,98	59,95
ORDST2174            	2	93,55	189,95
ORDST2175            	1	303,85	609,95
ORDST2166            	1	1197	2399,95
ORDST2167            	4	55,5	59,95
ORDST2168            	1	55,5	59,95
ORDST2169            	1	669	1339,95
ORDST2170            	5,5	0	34,95
ORDST2162            	1	1197	2399,95
ORDST2163            	2	38,59	79,95
ORDST2164            	4	38,59	79,95
ORDST2164            	1	1197	2399,95
ORDST2165            	1	1197	2399,95
ORDST2157            	1	1197	2399,95
ORDST2158            	1	1197	2399,95
ORDST2159            	2	1197	2399,95
ORDST2160            	1	1197	2399,95
ORDST2161            	1	3,29	9,95
QTEST1019            	1	59,29	119,95
QTEST1020            	1	5,98	19,95
ORDST2154            	1	1400	2809,95
ORDST2155            	2	1400	2809,95
ORDST2156            	2	1400	2809,95
QTEST1006            	1	303,85	609,95
QTEST1007            	3	3,29	9,95
QTEST1008            	4	4,55	9,95
QTEST1009            	1	50,25	109,95
QTEST1017            	5	67,55	139,95
ORDST2221            	2	303,85	609,95
ORDST2222            	1	50,25	109,95
QTE1002              	3	4,55	9,95
QTERP1000            	10	35	34,95
QTEST1005            	2	93,55	189,95
ORDST2216            	12	0	34,95
ORDST2217            	1	92,59	189,95
ORDST2218            	4	4,55	9,95
ORDST2219            	6	27,98	59,95
ORDST2220            	3	93,55	189,95
ORDST2211            	12	1197	2399,95
ORDST2212            	2	1197	2399,95
ORDST2213            	1	55,5	59,95
ORDST2214            	8	55,5	59,95
ORDST2215            	1	669	1339,95
ORDST2206            	2	5,98	19,95
ORDST2207            	6	669	1339,95
ORDST2208            	3	38,59	79,95
ORDST2209            	9	1197	2399,95
ORDST2210            	10	38,59	79,95
ORDST2201            	36	4,55	9,95
ORDST2202            	4	3,29	9,95
ORDST2203            	2	59,5	119,95
ORDST2204            	10	50,25	109,95
ORDST2205            	4	18,65	39,95
ORDST2196            	2	479,05	959,95
ORDST2197            	1	59,5	119,95
ORDST2198            	4	6921,88	13849,95
ORDST2199            	3	50,25	109,95
ORDST2200            	12	4,55	9,95
STDINV2037           	2	3,29	9,95
STDINV2038           	2	3,29	9,95
ORDST2193            	3	6921,88	13849,95
ORDST2194            	4	91,59	189,95
ORDST2195            	3	90,25	189,95
STDINV2032           	1	55,5	59,95
STDINV2033           	2	59,29	119,95
STDINV2034           	5	55,5	59,95
STDINV2035           	10	55,5	59,95
STDINV2036           	5	3,29	9,95
STDINV2027           	1	50,25	109,95
STDINV2028           	10	55,5	59,95
STDINV2029           	10	55,5	59,95
STDINV2030           	2	55,5	59,95
STDINV2031           	5	55,5	59,95
STDINV2022           	1	674,5	1349,95
STDINV2023           	3	4,55	9,95
STDINV2024           	4	93,55	189,95
STDINV2025           	10	1197	2399,95
STDINV2026           	1	59,29	119,95
STDINV2017           	3	3,29	9,95
STDINV2018           	2	165,85	359,95
STDINV2019           	3	3,29	9,95
STDINV2020           	2	3188,47	5999,95
STDINV2021           	1	2998,15	5999,95
STDINV2012           	5	4,31	9,95
STDINV2013           	1	674,5	1349,95
STDINV2014           	1	92,59	189,95
STDINV2015           	1	301,54	609,95
STDINV2016           	5	93,36	189,95
STDINV2007           	2	75,15	149,95
STDINV2008           	3	29,75	119,95
STDINV2009           	2	5,98	19,95
STDINV2010           	2	93,55	189,95
STDINV2011           	5	3,29	9,95
STDINV2002           	6	92,59	189,95
STDINV2003           	4	27,98	119,95
STDINV2004           	2	92,59	189,95
STDINV2005           	1	479,05	959,95
STDINV2006           	5	34,59	79,95
STDINV2078           	1	50,25	109,95
STDINV2079           	5	4,55	9,95
QTEST1020            	3	41,98	89,95
STDINV2000           	5	301,54	609,95
STDINV2001           	6	92,59	189,95
STDINV2073           	6	91,59	189,95
STDINV2074           	4	91,59	189,95
STDINV2075           	2	479,05	959,95
STDINV2076           	3	27,98	119,95
STDINV2077           	2	6921,88	13849,95
STDINV2068           	4	29,75	59,95
STDINV2069           	2	93,55	189,95
STDINV2070           	1	301,54	609,95
STDINV2071           	1	50,25	109,95
STDINV2072           	3	90,88	189,95
STDINV2062           	1	55,5	59,95
STDINV2064           	1	698,12	1339,95
STDINV2065           	5,5	0	34,95
STDINV2066           	1	92,59	189,95
STDINV2067           	2	4,55	9,95
STDINV2057           	1	1197	2399,95
STDINV2058           	4	38,59	79,95
STDINV2059           	1	1197	2399,95
STDINV2060           	1	1197	2399,95
STDINV2061           	4	55,5	59,95
STDINV2052           	2	664,96	2399,95
STDINV2053           	1	664,96	2399,95
STDINV2054           	1	3,29	9,95
STDINV2055           	1	1197	2399,95
STDINV2056           	2	38,59	79,95
STDINV2047           	1	1197	2399,95
STDINV2048           	2	1197	2399,95
STDINV2049           	2	1197	2399,95
STDINV2050           	1	1197	2399,95
STDINV2051           	1	664,96	2399,95
STDINV2042           	1	3,29	9,95
STDINV2043           	2	55,5	59,95
STDINV2044           	5	55,5	59,95
STDINV2045           	1	59,29	119,95
STDINV2046           	2	1197	2399,95
STDINV2118           	5	303,85	609,95
STDINV2119           	6	92,59	189,95
STDINV2039           	1	3,29	9,95
STDINV2040           	2	3,29	9,95
STDINV2041           	1	3,29	9,95
STDINV2113           	4	4,55	9,95
STDINV2114           	6	28,57	59,95
STDINV2115           	3	92,59	189,95
STDINV2116           	2	303,85	609,95
STDINV2117           	1	50,25	109,95
STDINV2108           	1	55,5	59,95
STDINV2109           	8	55,5	59,95
STDINV2110           	1	669	1339,95
STDINV2111           	12	0	34,95
STDINV2112           	1	92,59	189,95
STDINV2103           	3	38,59	79,95
STDINV2104           	9	1197	2399,95
STDINV2105           	10	38,59	79,95
STDINV2106           	12	1197	2399,95
STDINV2107           	2	1197	2399,95
STDINV2098           	2	27,98	119,95
STDINV2099           	10	50,25	109,95
STDINV2100           	4	20,45	39,95
STDINV2101           	2	5,98	19,95
STDINV2102           	6	656,77	1339,95
STDINV2093           	4	6921,88	13849,95
STDINV2094           	3	50,25	109,95
STDINV2095           	12	4,55	9,95
STDINV2096           	36	4,55	9,95
STDINV2097           	4	3,29	9,95
STDINV2088           	3	6921,88	13849,95
STDINV2089           	4	91,59	189,95
STDINV2090           	3	91,59	189,95
STDINV2091           	2	479,05	959,95
STDINV2092           	1	27,98	119,95
STDINV2083           	2	50,25	109,95
STDINV2084           	4	20,45	39,95
STDINV2085           	1	5,98	19,95
STDINV2086           	2	698,12	1339,95
STDINV2087           	3	91,59	189,95
STDINV2160           	1	1197	2399,95
STDINV2161           	2	1197	2399,95
STDINV2080           	3	4,55	9,95
STDINV2081           	2	3,29	9,95
STDINV2082           	2	27,98	119,95
STDINV2155           	1	1400	2809,95
STDINV2156           	1	1400	2809,95
STDINV2157           	2	1400	2809,95
STDINV2158           	2	1400	2809,95
STDINV2159           	1	1197	2399,95
STDINV2149           	1	3,29	9,95
STDINV2150           	2	3,29	9,95
STDINV2151           	1	3,29	9,95
STDINV2153           	1	3,29	9,95
STDINV2154           	1	59,29	119,95
STDINV2144           	1	59,29	119,95
STDINV2145           	1	50,25	109,95
STDINV2146           	2	59,29	119,95
STDINV2147           	5	3,29	9,95
STDINV2148           	2	3,29	9,95
STDINV2139           	1	3379,25	6929,95
STDINV2140           	1	674,5	1349,95
STDINV2141           	3	4,55	9,95
STDINV2142           	4	93,55	189,95
STDINV2143           	10	1400	2809,95
STDINV2134           	5	93,55	189,95
STDINV2135           	3	3,29	9,95
STDINV2136           	2	165,85	359,95
STDINV2137           	3	3,29	9,95
STDINV2138           	2	2998,15	5999,95
STDINV2129           	2	93,55	189,95
STDINV2130           	5	3,29	9,95
STDINV2131           	5	4,55	9,95
STDINV2132           	1	92,59	189,95
STDINV2133           	1	303,85	609,95
STDINV2123           	1	479,05	959,95
STDINV2124           	5	35,89	79,95
STDINV2126           	2	75,15	159,95
STDINV2127           	3	27,98	119,95
STDINV2128           	2	5,98	19,95
STDINV2199           	1	27,98	119,95
STDINV2200           	4	6921,88	13849,95
STDINV2120           	6	92,59	189,95
STDINV2121           	4	27,98	59,95
STDINV2122           	2	92,59	189,95
STDINV2194           	3	92,25	189,95
STDINV2195           	3	6896,35	13849,95
STDINV2196           	4	92,59	189,95
STDINV2197           	3	90,25	189,95
STDINV2198           	2	479,05	959,95
STDINV2189           	2	59,5	119,95
STDINV2190           	2	50,25	109,95
STDINV2191           	4	20,45	39,95
STDINV2192           	1	5,98	19,95
STDINV2193           	2	669	1339,95
STDINV2184           	2	6883,59	13849,95
STDINV2185           	1	50,25	109,95
STDINV2186           	5	4,55	9,95
STDINV2187           	3	4,55	9,95
STDINV2188           	2	3,29	9,95
STDINV2179           	3	92,59	189,95
STDINV2180           	6	92,59	189,95
STDINV2181           	4	92,01	189,95
STDINV2182           	2	479,05	959,95
STDINV2183           	3	59,5	119,95
STDINV2174           	2	4,55	9,95
STDINV2175           	4	27,98	59,95
STDINV2176           	2	93,55	189,95
STDINV2177           	1	303,85	609,95
STDINV2178           	1	50,25	109,95
STDINV2169           	4	55,5	59,95
STDINV2170           	1	55,5	59,95
STDINV2171           	1	669	1339,95
STDINV2172           	5,5	0	34,95
STDINV2173           	1	92,59	189,95
STDINV2165           	2	38,59	79,95
STDINV2166           	4	38,59	79,95
STDINV2166           	1	1197	2399,95
STDINV2167           	1	1197	2399,95
STDINV2168           	1	2500	2399,95
STDINV2247           	4	4,55	9,95
STDINV2248           	1	34550	69109,95
STDINV2162           	1	1197	2399,95
STDINV2163           	1	3,29	9,95
STDINV2164           	1	1197	2399,95
STDINV2240           	1	20,45	39,95
STDINV2240           	1	303,85	609,95
STDINV2241           	2	115,85	239,95
STDINV2245           	1	3290,55	6589,95
STDINV2246           	3	3,29	9,95
STDINV2228           	1	3,29	9,95
STDINV2228           	1	50,25	109,95
STDINV2229           	1	1197	2399,95
STDINV2234           	5	91,99	189,95
STDINV2237           	1	35000	70009,95
STDINV2224           	1	50,25	109,95
STDINV2225           	1	41,98	89,95
STDINV2226           	1	5,98	19,95
STDINV2226           	3	879,05	1759,95
STDINV2227           	2	25,71	79,95
STDINV2219           	1	92,59	189,95
STDINV2220           	4	4,55	9,95
STDINV2221           	6	27,98	59,95
STDINV2222           	3	93,55	189,95
STDINV2223           	2	303,85	609,95
STDINV2214           	2	1197	2399,95
STDINV2215           	1	55,5	59,95
STDINV2216           	8	55,5	59,95
STDINV2217           	1	669	1339,95
STDINV2218           	12	0	34,95
STDINV2209           	6	669	1339,95
STDINV2210           	3	25,73	79,95
STDINV2211           	9	1631,33	2399,95
STDINV2212           	10	25,73	79,95
STDINV2213           	12	1197	2399,95
STDINV2204           	4	3,29	9,95
STDINV2205           	2	27,98	119,95
STDINV2206           	10	50,25	109,95
STDINV2207           	4	20,45	39,95
STDINV2208           	2	5,98	19,95
STDINV2253           	10	41,98	89,95
STDINV2254           	2	899	1759,95
STDINV2201           	3	50,25	109,95
STDINV2202           	12	4,55	9,95
STDINV2203           	36	4,55	9,95
STDINV2249           	1	34550	69109,95
STDINV2250           	3	4,55	9,95
STDINV2251           	4	75	9,95
STDINV2252           	3	899	1759,95
STDINV2252           	5	4,55	9,95
ORD1005              	1	303,85	609,95
ORD1005              	5	3,29	9,95
ORD1006              	1	3290,55	6589,95
ORD1007              	3	4,55	9,95
ORD1008              	1	3,29	9,95
ORD1000              	1	179,85	359,95
ORD1001              	2	27,98	59,95
